,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
2166,"(0, 1, 2, 3, 4, 7, 8, 10)",[0.5537816  0.59681758 0.54311241 0.59765981 0.51039417],0.5603531142253205,"('modified_subsystems', 'entropy', 'number_of_authors', 'age', 'number_unique_changes', 'rexp', 'lines_of_code_added', 'files_churned')",0.0428515688604014,0.03333997638202693,0.016669988191013462
2167,"(1, 2, 3, 6, 7)",[0.55178686 0.60176546 0.54217694 0.60017884 0.50585716],0.5603530526439415,"('entropy', 'number_of_authors', 'age', 'experience', 'rexp')",0.04696022403014167,0.0365366496886049,0.01826832484430245
2168,"(1, 2, 3, 5, 6, 7, 8)",[0.55178839 0.60176393 0.54217694 0.60017884 0.50585716],0.5603530526439415,"('entropy', 'number_of_authors', 'age', 'purpose', 'experience', 'rexp', 'lines_of_code_added')",0.04695968656266419,0.03653623152064788,0.01826811576032394
2169,"(0, 1, 2, 3, 4, 5, 7, 10)",[0.5537816  0.59681606 0.54311241 0.59765981 0.51039417],0.5603528085177605,"('modified_subsystems', 'entropy', 'number_of_authors', 'age', 'number_unique_changes', 'purpose', 'rexp', 'files_churned')",0.04285113911906298,0.033339642028665906,0.016669821014332953
2170,"(0, 1, 2, 3, 4, 5, 7, 8, 9, 10)",[0.5537816  0.59681606 0.54311241 0.59765981 0.51039417],0.5603528085177605,"('modified_subsystems', 'entropy', 'number_of_authors', 'age', 'number_unique_changes', 'purpose', 'rexp', 'lines_of_code_added', 'lines_of_code_deleted', 'files_churned')",0.04285113911906298,0.033339642028665906,0.016669821014332953
2171,"(0, 1, 2, 3, 4, 5, 7, 8, 10)",[0.5537816  0.59681606 0.54311241 0.59765981 0.51039417],0.5603528085177605,"('modified_subsystems', 'entropy', 'number_of_authors', 'age', 'number_unique_changes', 'purpose', 'rexp', 'lines_of_code_added', 'files_churned')",0.04285113911906298,0.033339642028665906,0.016669821014332953
2172,"(0, 1, 2, 3, 4, 5, 7, 9, 10)",[0.5537816  0.59681606 0.54311241 0.59765981 0.51039417],0.5603528085177605,"('modified_subsystems', 'entropy', 'number_of_authors', 'age', 'number_unique_changes', 'purpose', 'rexp', 'lines_of_code_deleted', 'files_churned')",0.04285113911906298,0.033339642028665906,0.016669821014332953
2173,"(1, 2, 3, 5, 6, 7, 9)",[0.55178992 0.60176088 0.54217694 0.60017884 0.50585716],0.5603527469363814,"('entropy', 'number_of_authors', 'age', 'purpose', 'experience', 'rexp', 'lines_of_code_deleted')",0.04695870379092766,0.036535466890848876,0.01826773344542444
2174,"(1, 2, 3, 5, 6, 7, 8, 9)",[0.55178839 0.60176088 0.54217694 0.60017884 0.50585716],0.5603524412288212,"('entropy', 'number_of_authors', 'age', 'purpose', 'experience', 'rexp', 'lines_of_code_added', 'lines_of_code_deleted')",0.046958795886938555,0.03653553854467416,0.01826776927233708
2175,"(1, 2, 3, 6, 7, 9)",[0.55178839 0.60176088 0.54217694 0.60017884 0.50585716],0.5603524412288212,"('entropy', 'number_of_authors', 'age', 'experience', 'rexp', 'lines_of_code_deleted')",0.046958795886938555,0.03653553854467416,0.01826776927233708
2176,"(1, 2, 3, 6, 7, 8, 9)",[0.55178839 0.60176088 0.54217694 0.60017884 0.50585716],0.5603524412288212,"('entropy', 'number_of_authors', 'age', 'experience', 'rexp', 'lines_of_code_added', 'lines_of_code_deleted')",0.046958795886938555,0.03653553854467416,0.01826776927233708
